"time","time_orig","p_id","lon","lat","altitude","z","ta_int","UTM_x","UTM_y"
"2019-06-26 22:00:00",2019-06-26T22:00:06Z,5353,7.372199,46.925042,579,578,25.2,376073.617616119,5198120.4288522
"2019-06-26 22:00:00",NAN,5355,7.313287,46.894838,526,538,NAN,371516.485838081,5194858.90195993
"2019-06-26 22:00:00",2019-06-26T21:59:46Z,5356,7.3278523,46.8894739,543,542,NAN,372613.257277681,5194239.08664059
"2019-06-26 22:00:00",2019-06-26T21:56:41Z,5357,7.313692,46.890687,531,533,26,371537.421487965,5194396.97483193
"2019-06-26 22:00:00",NAN,5361,7.3943629616851,46.885989049692,724,725,NAN,377672.128410907,5193746.01138738
"2019-06-26 22:00:00",2019-06-26T21:57:17Z,5362,7.383338,46.883334,659,659,28.2,376826.11102413,5193468.22518794
"2019-06-26 22:00:00",2019-06-26T22:00:50Z,5364,7.365836,46.873534,-999,684,26.2,375469.97565936,5192406.85939287
"2019-06-26 22:00:00",2019-06-26T21:59:17Z,5365,7.38997,46.885852,664,662,25.2,377337.137221356,5193737.63998542
"2019-06-26 22:00:00",2019-06-26T21:59:19Z,5367,7.3163737,46.8941756,536,537,26.4,371750.02783456,5194780.24491637
"2019-06-26 22:00:00",2019-06-26T22:00:59Z,5371,7.314254,46.895548,555,559,NAN,371591.839882279,5194936.21484953
"2019-06-26 22:00:00",2019-06-26T21:51:34Z,5377,7.230527,46.899535,499,499,25.9,365224.233290989,5195519.69707897
"2019-06-26 22:00:00",NAN,5378,7.2395279087677,46.884943869159,581,580,NAN,365873.410523785,5193882.8932429
"2019-06-26 22:00:00",NAN,5382,7.281389,46.874342,596,598,NAN,369036.853568205,5192634.10052756
"2019-06-26 22:00:00",2019-06-26T21:57:40Z,5383,7.2761792,46.8746179,626,626,NAN,368640.532784827,5192673.46566633
"2019-06-26 22:00:00",2019-06-26T21:56:17Z,5386,7.2757147,46.8746919,628,626,26.7,368605.318075455,5192682.46617893
"2019-06-26 22:00:00",2019-06-26T22:01:01Z,5387,7.280849,46.873265,611,605,23.7,368993.083192959,5192515.32478501
"2019-06-26 22:00:00",2019-06-26T21:51:48Z,5388,7.280048,46.874311,603,605,26.7,368934.591950498,5192632.89442701
"2019-06-26 22:00:00",2019-06-26T21:55:07Z,5390,7.269396,46.871745,632,630,NAN,368116.606342512,5192365.6031598
"2019-06-26 22:00:00",2019-06-26T21:52:04Z,5391,7.244643,46.909335,514,519,28.9,366323.757054991,5196584.52878925
"2019-06-26 22:00:00",NAN,5392,7.239274,46.8981775,493,492,NAN,365887.068180594,5195353.8597445
"2019-06-26 22:00:00",NAN,5393,7.2402084049751,46.905982740055,489,489,NAN,365977.697266652,5196219.58922427
"2019-06-26 22:00:00",2019-06-26T21:58:55Z,5395,7.237105,46.896382,-999,504,26.7,365717.377210645,5195158.05238171
